url,name,description
https://mail-unigeneve.sv-restaurant.ch/fr/plan-des-menus/unimail-kitchen/,UNIMAIL Kitchen,restaurant
https://mail-unigeneve.sv-restaurant.ch/fr/plan-des-menus/unimail-kitchen/,UNIMAIL Kitchen,restaurant
https://www.mangiabene-restaurant.ch,Mangia Bene,restaurant
https://mail-unigeneve.sv-restaurant.ch/fr/plan-des-menus/unimail-time/,UNIMAIL Time,restaurant
https://capsbbq.ch/,Caps BBQ,restaurant
http://www.ledeclic.ch/,Le Déclic,bar
https://www.suahoy.ch/,Suahoy,restaurant
https://www.unrdefamille.ch/,Un R de famille,restaurant
https://capsbbq.ch/,Caps BBQ,restaurant
http://www.ledeclic.ch/,Le Déclic,bar
https://aupetitprince.ch/,Petit Prince,restaurant
https://lezinzou.ch/,ZinZou,bar
https://tartaresandco.ch/,Tartares & Co,restaurant
https://aupetitprince.ch/,Petit Prince,restaurant
https://grill-leschot.ch/,Grill Leschot,restaurant
https://www.oliban-geneve.ch/,O’Liban,restaurant
https://aupetitprince.ch/,Petit Prince,restaurant
https://lezinzou.ch/,ZinZou,bar
https://grill-leschot.ch/,Grill Leschot,restaurant
https://www.oliban-geneve.ch/,O’Liban,restaurant
https://lesphilosophes.ch/,Les Philosophes,restaurant
https://chezkuk.ch/,Chez Kuk,restaurant
https://www.entrecote-saintjean.ch/,L'entrecôte Saint-Jean,restaurant
https://bar-ladistillerie.ch/,La distillerie,bar
https://tartaresandco.ch/,Tartares & Co,restaurant
https://www.oliban-geneve.ch/,O’Liban,restaurant
https://chezkuk.ch/,Chez Kuk,restaurant
https://chezkuk.ch/,Chez Kuk,restaurant
https://safrangeneve.ch/,Le Safran,restaurant
https://www.meg.ch/fr/cafe-du-meg,Café du Meg,restaurant
https://tartaresandco.ch/,Tartares & Co,restaurant
https://zemgeneve.ch/,Zem,restaurant
https://zemgeneve.ch/,Zem,restaurant
https://www.sushi.ch/,Mikado,restaurant
https://zemgeneve.ch/,Zem,restaurant
http://www.cafe-de-la-paix.ch,Café de la Paix,restaurant
https://safrangeneve.ch/,Le Safran,restaurant
https://www.meg.ch/fr/cafe-du-meg,Café du Meg,restaurant
https://www.umamido.ch,Umamido,restaurant
https://www.tonic-restaurant.ch/,Tonic,restaurant
https://cicocafes.com/,Cico Coffee & Food,coffee
https://www.tonic-restaurant.ch/,Tonic,restaurant
https://cicocafes.com/,Cico Coffee & Food,coffee
http://www.nyalabarka.ch/,Nyala Barka,restaurant
https://heavenfood.ch,Heaven,restaurant
https://heavenfood.ch,Heaven,restaurant
https://www.tonic-restaurant.ch/,Tonic,restaurant
https://cicocafes.com/,Cico Coffee & Food,coffee
http://www.nyalabarka.ch/,Nyala Barka,restaurant
http://www.nyalabarka.ch/,Nyala Barka,restaurant
http://www.nyalabarka.ch/,Nyala Barka,restaurant
https://heavenfood.ch,Heaven,restaurant
https://heavenfood.ch,Heaven,restaurant
http://www.restos-geneve.ch/,Au Carnivore,restaurant
http://www.nyalabarka.ch/,Nyala Barka,restaurant
https://lapignata.ch/,La Pignata,restaurant
https://heavenfood.ch,Heaven,restaurant
http://www.restos-geneve.ch/,Au Carnivore,restaurant
http://www.restos-geneve.ch/,Au Carnivore,restaurant
https://www.givesafork.com,Gives a fork,restaurant
https://www.yvonnes.ch/,Yvonne's Noodles,restaurant
http://www.nyamuk.ch,Nyamuk,restaurant
https://lapignata.ch/,La Pignata,restaurant
https://lapignata.ch/,La Pignata,restaurant
http://www.chaletswiss.ch,La Cave Valaisanne,restaurant
https://bastions.ch/,Café Restaurant du Parc des Bastions,restaurant
https://bastions.ch/,Café Restaurant du Parc des Bastions,restaurant
http://www.restos-geneve.ch/,Au Carnivore,restaurant
http://www.pougnier.ch/,A. Pougnier,restaurant
http://www.restos-geneve.ch/,Au Carnivore,restaurant
https://www.pidefactory.ch/,Pidé Factory,restaurant
https://www.yvonnes.ch/,Yvonne's Noodles,restaurant
http://www.le-reservoir.ch/,Café de la Presse,restaurant
http://www.le-reservoir.ch/,Le Réservoir,restaurant
https://www.verreamonique.ch/,Le Verre à Monique,bar
http://www.nyamuk.ch,Nyamuk,restaurant
https://lapignata.ch/,La Pignata,restaurant
http://www.chaletswiss.ch,La Cave Valaisanne,restaurant
http://www.chaletswiss.ch,La Cave Valaisanne,restaurant
https://bastions.ch/,Café Restaurant du Parc des Bastions,restaurant
http://www.hdvglozu.ch,L'Hôtel de Ville,restaurant
http://www.pougnier.ch/,A. Pougnier,restaurant
https://www.pastapeople-geneve.ch,Pasta People,restaurant
https://www.pidefactory.ch/,Pidé Factory,restaurant
https://www.satubar.ch/,Satu,restaurant
https://odeongeneve.ch,Restaurant Odéon,restaurant
https://jeab.ch/,Jeab,restaurant
https://odeongeneve.ch,Restaurant Odéon,restaurant
http://www.le-reservoir.ch/,Café de la Presse,restaurant
https://www.le-gruyerien.ch/,Le Gruyérien,restaurant
https://www.verreamonique.ch/,Le Verre à Monique,bar
https://jeab.ch/,Jeab,restaurant
https://www.lebaldescreateurs.com/,Le Bal des Créateurs,hairdresser
http://www.chaletswiss.ch,La Cave Valaisanne,restaurant
https://www.cafedesbanques.com/,Café des Banques,restaurant
http://facebook.com/restolacrise,La Crise,restaurant
http://www.hdvglozu.ch,L'Hôtel de Ville,restaurant
http://www.hdvglozu.ch,L'Hôtel de Ville,restaurant
http://www.pougnier.ch/,A. Pougnier,restaurant
https://www.pastapeople-geneve.ch,Pasta People,restaurant
http://www.pougnier.ch/,A. Pougnier,restaurant
https://www.pastapeople-geneve.ch,Pasta People,restaurant
http://www.artemisiabistrot.ch/,Artemisia,restaurant
https://www.satubar.ch/,Satu,restaurant
http://www.artemisiabistrot.ch/,Artemisia,restaurant
https://www.satubar.ch/,Satu,restaurant
https://jeab.ch/,Jeab,restaurant
https://www.le-gruyerien.ch/,Le Gruyérien,restaurant
https://vroomgeneve.ch/,Vroom,restaurant
https://www.cafedesbanques.com/,Café des Banques,restaurant
https://www.cafedesbanques.com/,Café des Banques,restaurant
http://facebook.com/restolacrise,La Crise,restaurant
https://kisakusushi.ch/,Kisaku Sushi,restaurant
https://www.pastapeople-geneve.ch,Pasta People,restaurant
http://www.lajonquille.ch/,La Jonquille,bar
http://www.artemisiabistrot.ch/,Artemisia,restaurant
https://www.kytaly-geneve.com/,Kytaly,restaurant
https://www.lesfillesindignes.ch/,Les Filles Indignes,restaurant
https://katrepices.com/,Katrépices,restaurant
https://www.shisoburger.com/geneva/,Shiso Burger,restaurant
https://katrepices.com/,Katrépices,restaurant
https://www.osteriadellabottega.com/,Osteria della Bottega,restaurant
https://www.la-cantinella-geneve.ch/,La Cantinella,restaurant
https://lagarconniere.ch/,La Garçonniere,bar
http://capocaccia.co,Capocaccia - Rest./ Bar,restaurant
https://kisakusushi.ch/,Kisaku Sushi,restaurant
https://www.nespresso.com/ch/,Nespresso,coffee
https://www.nespresso.com/ch/,Nespresso,coffee
https://www.ariston-geneve.ch/,Ariston Bar Restaurant,restaurant
https://www.ariston-geneve.ch/,Ariston Bar Restaurant,restaurant
http://www.fmrbar.ch,FMR Funky Monkey Room,restaurant
http://www.lajonquille.ch/,La Jonquille,bar
https://bblsg.ch/,Les Sales Gosses,restaurant
https://www.kytaly-geneve.com/,Kytaly,restaurant
https://www.lesfillesindignes.ch/,Les Filles Indignes,restaurant
https://katrepices.com/,Katrépices,restaurant
https://www.shisoburger.com/geneva/,Shiso Burger,restaurant
https://www.vins-sur-vins.ch/,Café Huissoud,restaurant
https://www.kytaly-geneve.com/,Kytaly,restaurant
https://katrepices.com/,Katrépices,restaurant
https://www.shisoburger.com/geneva/,Shiso Burger,restaurant
https://lagarconniere.ch/,La Garçonniere,bar
https://www.la-cantinella-geneve.ch/,La Cantinella,restaurant
https://lagarconniere.ch/,La Garçonniere,bar
http://capocaccia.co,Capocaccia - Rest./ Bar,restaurant
https://kisakusushi.ch/,Kisaku Sushi,restaurant
http://capocaccia.co,Capocaccia - Rest./ Bar,restaurant
https://www.nespresso.com/ch/,Nespresso,coffee
https://molino.ch/en/restaurants/pizzeria-ristorante-molino-molard-geneva/,Molino Pizzeria Ristorante,restaurant
https://www.nespresso.com/ch/,Nespresso,coffee
https://molino.ch/en/restaurants/pizzeria-ristorante-molino-molard-geneva/,Molino Pizzeria Ristorante,restaurant
https://www.ariston-geneve.ch/,Ariston Bar Restaurant,restaurant
https://www.ariston-geneve.ch/,Ariston Bar Restaurant,restaurant
http://www.fmrbar.ch,FMR Funky Monkey Room,restaurant
http://www.fmrbar.ch,FMR Funky Monkey Room,restaurant
https://www.lrdutemps.ch/,L'R du Temps,hairdresser
https://www.le23.ch/,Le 23,restaurant
https://www.naturlich.ch/,Natürlich,restaurant
https://www.vins-sur-vins.ch/,Café Huissoud,restaurant
https://www.rooftop42.com/,rooftop°42,restaurant
https://www.rooftop42.com/,rooftop°42,restaurant
https://www.lebaroquerestaurant.com/,Le Baroque,restaurant
https://molino.ch/en/restaurants/pizzeria-ristorante-molino-molard-geneva/,Molino Pizzeria Ristorante,restaurant
https://www.lapotinieregeneve.com,La Potinière,restaurant
https://hanae-restaurant.ch/,Hanae,restaurant
https://www.riverside-geneve.ch,Riverside,restaurant
https://www.riverside-geneve.ch,Riverside,restaurant
https://nicoandco.ch/,Nico & Co.,bar
https://www.rooftop42.com/,rooftop°42,restaurant
https://www.lebaroquerestaurant.com/,Le Baroque,restaurant
https://www.concrete-geneva.com/menu,Concrete,bar
http://www.labarje.ch/lieux/lavandiere/,La Barje,bar
http://www.bateaulavoir.ch/,Le Bateau-Lavoir,restaurant
http://www.bateaulavoir.ch/,Le Bateau-Lavoir,restaurant
https://www.terrasse-paradis.ch/,Le Paradis,restaurant
https://www.riverside-geneve.ch,Riverside,restaurant
https://nicoandco.ch/,Nico & Co.,bar
https://www.riverside-geneve.ch,Riverside,restaurant
https://nicoandco.ch/,Nico & Co.,bar
https://www.concrete-geneva.com/menu,Concrete,bar
https://www.rooftop42.com/,rooftop°42,restaurant
https://www.concrete-geneva.com/menu,Concrete,bar
https://www.lapotinieregeneve.com,La Potinière,restaurant
https://dapaolo.ch/,Da Paolo,restaurant
https://hanae-restaurant.ch/,Hanae,restaurant
http://www.labarje.ch/lieux/lavandiere/,La Barje,bar
https://www.terrasse-paradis.ch/,Le Paradis,restaurant
https://www.mandarinoriental.com/en/geneva/rhone-river/dine/sachi,SACHI,restaurant
https://www.mandarinoriental.com/fr/geneva/rhone-river/dine/ottolenghi,Ottolenghi,restaurant
https://www.terrasse-paradis.ch/,Le Paradis,restaurant
https://www.mandarinoriental.com/en/geneva/rhone-river/dine/sachi,SACHI,restaurant
https://www.riverside-geneve.ch,Riverside,restaurant
https://www.riverside-geneve.ch,Riverside,restaurant
https://nicoandco.ch/,Nico & Co.,bar
https://www.concrete-geneva.com/menu,Concrete,bar
https://dapaolo.ch/,Da Paolo,restaurant
https://saintgervais.ch/la-replique/,La réplique,restaurant
https://www.mandarinoriental.com/fr/geneva/rhone-river/dine/ottolenghi,Ottolenghi,restaurant
https://www.terrasse-paradis.ch/,Le Paradis,restaurant
https://www.mandarinoriental.com/en/geneva/rhone-river/dine/sachi,SACHI,restaurant
https://www.terrasse-paradis.ch/,Le Paradis,restaurant
https://hunch-geneve.business.site/website/hunch-geneve/?hl=en,Hunch,restaurant
https://saintgervais.ch/la-replique/,La réplique,restaurant
https://saintgervais.ch/la-replique/,La réplique,restaurant
